Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label
32.0,6,64.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,660,66,66,66.0,0.0,66.0,0.0,10,0.0,MITM-ArpSpoofing
27.2,6,97.8,0.0,0.2,0.0,0.0,0.3,0.8,0.0,0.0,8,0,2,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1001,66,230,100.1,64.51778393934842,100.1,0.0,10,4162.544444444445,Benign_Final
20.8,6,123.8,0.0,0.0,0.1,0.0,0.1,0.4,0.0,0.0,4,1,0,0,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1225,66,214,122.5,63.53520458944177,122.5,0.0,10,4036.722222222222,DNS_Spoofing
20.0,6,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DoS-TCP_Flood
8.0,17,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5540,554,554,554.0,0.0,554.0,0.0,10,0.0,Mirai-udpplain
8.0,17,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DDoS-UDP_Flood
7.2,17,83.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,1.0,1.0,610,60,70,61.0,3.1622776601683795,61.0,0.0,10,10.0,DoS-UDP_Flood
16.8,17,112.7,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,4,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.1,0.1,0.0,0.0,0.9,0.9,1466,50,344,146.6,103.6363299663245,146.6,0.0,10,10740.488888888887,DNS_Spoofing
20.0,6,64.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0,10,0.0,DoS-SYN_Flood
28.8,6,95.8,0.0,0.0,0.2,0.0,0.2,0.8,0.0,0.0,8,2,0,0,0.1,0.6,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,776,60,127,77.6,23.09497299798763,77.6,0.0,10,533.3777777777777,Recon-PortScan
